INFO: Waiting for solution ...
INFO: Algorithm took 0.008 seconds.
INFO: Step 001 - from (1, 1) to (0, 1) ; cost 1
INFO: Step 242 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 243 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 244 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 245 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 246 - from (0, 1) to (0, 3) ; cost 2
INFO: Step 247 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 248 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 249 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 250 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 251 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 252 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 253 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 254 - from (3, 0) to (1, 0) ; cost 2
INFO: Step 255 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 256 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 257 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 258 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 259 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 260 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 261 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 262 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 263 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 264 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 265 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 266 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 267 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 268 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 269 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 270 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 271 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 272 - from (3, 0) to (3, 1) ; cost 1
INFO: Step 273 - from (3, 1) to (3, 0) ; cost 1
INFO: Step 274 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 275 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 276 - from (3, 0) to (3, 1) ; cost 1
INFO: Step 277 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 278 - from (3, 1) to (3, 0) ; cost 1
INFO: Step 279 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 280 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 281 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 282 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 283 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 284 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 285 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 286 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 287 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 288 - from (2, 3) to (1, 3) ; cost 1
INFO: Step 289 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 290 - from (0, 3) to (1, 3) ; cost 1
INFO: Step 291 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 292 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 293 - from (1, 0) to (3, 0) ; cost 2
INFO: Step 294 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 295 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 296 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 297 - from (3, 0) to (1, 0) ; cost 2
INFO: Step 298 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 299 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 300 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 301 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 302 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 303 - from (0, 3) to (0, 1) ; cost 2
INFO: Step 304 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 305 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 306 - from (3, 1) to (0, 1) ; cost 3
INFO: Step 307 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 308 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 309 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 310 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 311 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 312 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 313 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 314 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 315 - from (3, 1) to (0, 1) ; cost 3
INFO: Step 316 - from (0, 1) to (0, 0) ; cost 1
INFO: Step 317 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 318 - from (3, 0) to (3, 1) ; cost 1
INFO: Step 319 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 320 - from (3, 1) to (3, 0) ; cost 1
INFO: Step 321 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 322 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 323 - from (0, 3) to (0, 1) ; cost 2
INFO: Step 324 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 325 - from (3, 1) to (3, 0) ; cost 1
INFO: Step 326 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 327 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 328 - from (3, 2) to (3, 1) ; cost 1
INFO: Step 329 - from (3, 1) to (3, 2) ; cost 1
INFO: Step 330 - from (3, 0) to (3, 1) ; cost 1
INFO: Step 331 - from (3, 1) to (0, 1) ; cost 3
INFO: Step 332 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 333 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 334 - from (3, 1) to (3, 2) ; cost 1
INFO: Step 335 - from (3, 2) to (3, 1) ; cost 1
INFO: Step 336 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 337 - from (3, 1) to (0, 1) ; cost 3
INFO: Step 338 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 339 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 340 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 341 - from (3, 1) to (3, 0) ; cost 1
INFO: Step 342 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 343 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 344 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 345 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 346 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 347 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 348 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 349 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 350 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 351 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 352 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 353 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 354 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 355 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 356 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 357 - from (2, 3) to (2, 0) ; cost 3
INFO: Path length is 357 steps.
INFO: Path cost is 814 units.
