INFO: Waiting for solution ...
INFO: Algorithm took 0.008 seconds.
INFO: Step 001 - from (1, 1) to (0, 1) ; cost 1
INFO: Step 002 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 003 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 004 - from (0, 1) to (0, 3) ; cost 2
INFO: Step 005 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 006 - from (2, 0) to (2, 2) ; cost 2
INFO: Step 007 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 008 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 009 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 010 - from (2, 2) to (2, 3) ; cost 1
INFO: Step 011 - from (2, 3) to (1, 3) ; cost 1
INFO: Step 012 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 013 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 014 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 015 - from (1, 0) to (2, 0) ; cost 1
INFO: Step 016 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 017 - from (2, 0) to (3, 0) ; cost 1
INFO: Step 018 - from (3, 0) to (3, 1) ; cost 1
INFO: Step 019 - from (3, 1) to (3, 0) ; cost 1
INFO: Step 020 - from (3, 2) to (3, 1) ; cost 1
INFO: Step 021 - from (3, 1) to (3, 2) ; cost 1
INFO: Step 022 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 023 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 024 - from (3, 0) to (3, 1) ; cost 1
INFO: Step 025 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 026 - from (3, 1) to (3, 0) ; cost 1
INFO: Step 027 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 028 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 029 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 030 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 031 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 032 - from (0, 2) to (0, 1) ; cost 1
INFO: Step 033 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 034 - from (0, 1) to (0, 0) ; cost 1
INFO: Step 035 - from (0, 0) to (2, 0) ; cost 2
INFO: Step 036 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 037 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 038 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 039 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 040 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 041 - from (0, 0) to (2, 0) ; cost 2
INFO: Step 042 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 043 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 044 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 045 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 046 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 047 - from (0, 0) to (2, 0) ; cost 2
INFO: Step 048 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 049 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 050 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 051 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 052 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 053 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 054 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 055 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 056 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 057 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 058 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 059 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 060 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 061 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 062 - from (2, 0) to (1, 0) ; cost 1
INFO: Step 063 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 064 - from (1, 0) to (0, 0) ; cost 1
INFO: Step 065 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 066 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 067 - from (0, 3) to (0, 1) ; cost 2
INFO: Step 068 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 069 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 070 - from (3, 1) to (0, 1) ; cost 3
INFO: Step 071 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 072 - from (0, 1) to (0, 0) ; cost 1
INFO: Step 073 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 074 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 075 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 076 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 077 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 078 - from (0, 0) to (0, 2) ; cost 2
INFO: Step 079 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 080 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 081 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 082 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 083 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 084 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 085 - from (0, 3) to (1, 3) ; cost 1
INFO: Step 086 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 087 - from (1, 0) to (0, 0) ; cost 1
INFO: Step 088 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 089 - from (2, 0) to (1, 0) ; cost 1
INFO: Step 090 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 091 - from (1, 0) to (0, 0) ; cost 1
INFO: Step 092 - from (0, 0) to (0, 2) ; cost 2
INFO: Step 093 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 094 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 095 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 096 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 097 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 098 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 099 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 100 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 101 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 102 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 103 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 104 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 105 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 106 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 107 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 108 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 109 - from (0, 3) to (0, 1) ; cost 2
INFO: Step 110 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 111 - from (3, 1) to (3, 2) ; cost 1
INFO: Step 112 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 113 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 114 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 115 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 116 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 117 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 118 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 119 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 120 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 121 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 122 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 123 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 124 - from (0, 3) to (0, 1) ; cost 2
INFO: Step 125 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 126 - from (3, 1) to (3, 2) ; cost 1
INFO: Step 127 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 128 - from (3, 2) to (3, 1) ; cost 1
INFO: Step 129 - from (3, 1) to (0, 1) ; cost 3
INFO: Step 130 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 131 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 132 - from (0, 1) to (0, 3) ; cost 2
INFO: Step 133 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 134 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 135 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 136 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 137 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 138 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 139 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 140 - from (0, 0) to (2, 0) ; cost 2
INFO: Step 141 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 142 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 143 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 144 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 145 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 146 - from (2, 3) to (1, 3) ; cost 1
INFO: Step 147 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 148 - from (2, 3) to (1, 3) ; cost 1
INFO: Step 149 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 150 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 151 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 152 - from (2, 3) to (1, 3) ; cost 1
INFO: Step 153 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 154 - from (1, 0) to (0, 0) ; cost 1
INFO: Step 155 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 156 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 157 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 158 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 159 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 160 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 161 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 162 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 163 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 164 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 165 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 166 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 167 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 168 - from (0, 3) to (1, 3) ; cost 1
INFO: Step 169 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 170 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 171 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 172 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 173 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 174 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 175 - from (1, 0) to (2, 0) ; cost 1
INFO: Step 176 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 177 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 178 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 179 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 180 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 181 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 182 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 183 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 184 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 185 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 186 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 187 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 188 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 189 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 190 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 191 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 192 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 193 - from (3, 2) to (3, 1) ; cost 1
INFO: Step 194 - from (3, 1) to (3, 2) ; cost 1
INFO: Step 195 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 196 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 197 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 198 - from (0, 0) to (2, 0) ; cost 2
INFO: Step 199 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 200 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 201 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 202 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 203 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 204 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 205 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 206 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 207 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 208 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 209 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 210 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 211 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 212 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 213 - from (3, 0) to (1, 0) ; cost 2
INFO: Step 214 - from (1, 0) to (3, 0) ; cost 2
INFO: Step 215 - from (0, 0) to (2, 0) ; cost 2
INFO: Step 216 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 217 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 218 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 219 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 220 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 221 - from (0, 3) to (0, 1) ; cost 2
INFO: Step 222 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 223 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 224 - from (3, 1) to (3, 2) ; cost 1
INFO: Step 225 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 226 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 227 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 228 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 229 - from (2, 0) to (3, 0) ; cost 1
INFO: Step 230 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 231 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 232 - from (3, 2) to (3, 1) ; cost 1
INFO: Step 233 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 234 - from (3, 1) to (3, 2) ; cost 1
INFO: Step 235 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 236 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 237 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 238 - from (0, 0) to (0, 1) ; cost 1
INFO: Step 239 - from (0, 1) to (0, 0) ; cost 1
INFO: Step 240 - from (0, 2) to (0, 1) ; cost 1
INFO: Step 241 - from (0, 0) to (3, 0) ; cost 3
